Sens,Nature Mvt,Section,Chapitre - Code,Chapitre - Libellé,Nature - Code,Nature - Libellé,Fonction - Code,Fonction - Libellé,Niveau 1 - Section,Niveau 2 - Catégorie,Niveau 3 - Type,Niveau a - Politique,Niveau b - Sous Politique
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,63,AIDES A LA FAMILLE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,64,CRECHES ET GARDERIES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,70,SERVICES COMMUNS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,71,PARC PRIVE DE LA VILLE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,72,AIDE AU SECTEUR LOCATIF,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,813,PROPRETE URBAINE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,814,ECLAIRAGE PUBLIC,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,815,TRANSPORTS URBAINS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,816,AUTRES RESEAUX ET SERVICES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,820,SERVICES COMMUNS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,821,EQUIPEMENTS ANNEXES DE VOIRIE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,822,VOIRIE COMMUNALE ET ROUTES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,823,ESPACES VERTS URBAINS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,824,AUTRE OPERATIONS D'AMENAGEMENT,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,830,SERVICES COMMUNS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,832,ACTIONS SPECIFIQUES POLLUTION,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,90,INTERVENTIONS ECONOMIQUES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,94,AIDES COMMERCE SERVICES MCHDS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,95,AIDES AU TOURISME,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,01,OPERATIONS NON VENTILABLES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Administration et frais généraux,Administration générale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,020,ADMIN GENERALE COLLECTIVITE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Administration et frais généraux,Administration générale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,021,ASSEMBLEE LOCALE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Assemblée locale,Assemblée locale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,023,"INFORMATION, COMMUNICATION",DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Administration et frais généraux,Information Communication
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,024,FETES ET CEREMONIES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Administration et frais généraux,Fêtes et cérémonies
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,025,AIDES AUX ASSOCIATIONS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Administration et frais généraux,Administration générale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,026,CIMETIERES ET POMPES FUNEBRES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Cimetières
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,03,JUSTICE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Administration et frais généraux,Administration générale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,048,AUTRES ACTIONS INTERNATIONALES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Coopération Internationale,Coopération Internationale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,110,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sécurité Publique,Sécurité Publique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,112,POLICE MUNICIPALE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sécurité Publique,Police municipale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,113,"POMPIERS, INCENDIES ET SECOURS",DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sécurité Publique,"Pompiers, Incendie et secours"
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,114,AUTRES SERVICES DE PROTECTION,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sécurité Publique,Sécurité Publique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,12,HYGIENE ET SALUBRITE PUBLIQUE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sécurité Publique,Hygiène et salubrité publique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,20,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Ecoles
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,211,ECOLES MATERNELLES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Ecoles
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,212,ECOLES PRIMAIRES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Ecoles
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,213,CLASSES REGROUPEES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Ecoles
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,22,ENSEIGNEMENT DU DEUXIEME DEGRE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Collèges et Lycées
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,251,HEBERGEMENT ET RESTAURATION,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Restauration scolaire
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,252,TRANSPORTS SCOLAIRES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Transports scolaires
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,255,CLASSES DE DECOUVERTE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Périscolaire
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,30,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Action culturelle
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,311,"EXPRESSION MUSICALE, LYRIQUE",DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Expression artistique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,312,ARTS PLASTIQUES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Expression artistique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,313,THEATRES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Théâtres
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,314,CINEMAS ET AUTRES SALLES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Cinémas
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,322,MUSEES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Action culturelle
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,324,ENTRETIEN PATRIMOINE CULTUREL,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Action culturelle
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,33,ACTION CULTURELLE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Action culturelle
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,40,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Actions sportives
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,411,"SALLES DE SPORT, GYMNASES",DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Equipements sportifs
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,412,STADES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Equipements sportifs
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6042,ACH PRESTA SCES AUTRES TER AME,414,AUTRES EQUIPEMENTS SPORTIFS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Equipements sportifs
